,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar (Malagasy),Malaysia,Mali,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-01-31,1298.788461538462,0,0.0,300.2738095238095,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,33.510392156862764,0.0,0.0,0.0,0.0,0.0,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.7840628298257,0.0,2854.12912087912,0,0.0,0.0,0,0.0,75.27747252747247,0.0,0.0,0.0,0.0,0.0,140.5302940302941,0.0,0.0,4.258241758241758,1.0,0.0,1.1428571428571426,0.0,20.898876404494395,0.0,0.0,0.0,0.0,144.1333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17032967032967034,2.0,0.0,0.0,62.0,0.2554945054945055,0.0,0.0,0,24.77747252747254,0.0,0.0,3.0,0.0,0.5602409638554217,0,173.20853307766055,67.11475409836066,0.0,3.5769230769230775,0.0,0.0,0.0,0.0,0.0,0,516.6666666666669,16.866483516483527,0.0,0,30.277472527472543,795.1199388846451,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,3.0,0,0.0,0.0,0.0,0.0,0.0
1989-02-28,198.71538461538466,0,0.0,427.80952380952385,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,30.267450980392177,0.0,0.0,0.0,16.666666666666668,0.0,120.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,246.0221642764014,0.0,9706.14529914529,0,0.0,0.0,0,0.0,42.15384615384615,0.0,0.0,0.0,0.0,0.0,106.85084912051211,0.0,0.0,3.8461538461538454,0.0,0.0,0.0,0.0,18.876404494382033,2.0,0.0,0.0,0.0,78.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615383,0.0,0.0,0.0,0.0,45.244893524554556,0.0,0.0,0,15.153846153846162,0.0,0.0,0.0,0.0,0.5060240963855421,150,108.86577181208054,79.42622950819674,0.0,3.2307692307692313,0.0,0.0,0.0,0.0,0.0,0,0.0,12.729344729344731,0.0,0,114.1538461538461,659.8502673796794,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0,0.0,21.897727272727273,0.0,0.0,0.0
1989-03-31,2211.0509615384594,0,0.0,415.2619047619047,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,38.51039215686274,0.0,0.0,0.0,50.0,0.0,22.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.15072949649186,0.0,3571.572290278029,0,0.0,0.0,0,0.0,38.27747252747252,0.0,0.0,0.0,0.0,0.0,116.8506807091077,0.0,0.0,4.258241758241758,5.0,0.0,0.0,0.0,23.8988764044944,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17032967032967034,0.0,0.0,0.0,18.0,261.7807538788895,0.0,0.0,0,16.777472527472536,0.0,0.0,32.0,0.0,0.5602409638554217,0,180.4228187919463,95.11475409836069,0.0,3.5769230769230775,0.0,0.0,0.0,0.0,0.0,0,1.1333333333333333,9.833150183150183,0.0,0,20.777472527472547,797.1199388846451,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0,5.0,0,0.0,22.505681818181788,0.0,0.0,10.5
1989-04-30,510.73076923076934,0,0.0,177.85714285714283,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,375.2865546218485,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.89017197491762,0.0,945.8648892091514,0,0.0,0.0,0,0.0,43.4431602879879,0.0,0.0,0.0,82.0,0.0,185.40301271761962,0.9166666666666667,0.0,4.1208791208791204,11.103448275862075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.23380068207655,0.0,0.0,0.0,506.7758620689656,91.69006219768924,0.0,0.0,0,23.236263736263748,0.0,0.0,25.0,0.0,2.5421686746987895,0,217.57046979865763,68.55191256830602,0.0,23.461538461538492,0.0,0.0,121.0,0.0,0.0,0,8.933333333333334,10.776241000378926,0.0,2,124.2362637362637,962.6967150496566,0,0.0,0.0,0.0,82.17857142857142,0.0,0.0,0.0,17.177339901477843,97.33333333333331,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1989-05-31,821.8335435056747,0,0.0,278.59243697479,0,0.0,0,0,0.0,0,10.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,33.510392156862764,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,236.32417582417585,0.0,381.2889569446945,0,0.0,0.0,0,0.0,37.61080586080586,0.0,0.0,0.0,0.0,0.0,92.54790714903073,2.1666666666666665,0.0,4.258241758241758,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.03333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.503663003663005,0.0,0.0,0.0,214.1428571428571,262.71367632367634,0.0,0.0,0,40.2314198958936,0.0,0.0,4.0,0.0,0.5602409638554217,0,171.42281879194627,118.07771706132368,0.0,3.5769230769230775,0.0,0.0,0.0,0.0,0.0,0,23.0,11.799816849816853,0.0,5,73.75366300366298,764.3636363636366,0,0.0,0.0,0.0,101.14285714285712,0.0,0.0,0.0,71.42857142857144,593.1266666666667,0.0,0,1.0,0,0.0,0.0,0.0,4.0,0.0
1989-06-30,903.9356872635566,0,0.0,61.882352941176464,0,0.0,0,0,0.0,0,16.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,48.270791075050695,0.0,0.0,0.0,0.0,2600.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,163.0879120879121,0.0,125.65060349486572,0,0.0,0.0,0,0.0,39.23626373626373,0.0,0.0,0.0,0.0,0.0,147.06593406593404,0.0,0.0,4.1208791208791204,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26828344069724,0.0,0.0,4.0,293.3076923076924,47.174525474525495,0.0,0.0,0,124.79570112283356,0.0,0.0,0.0,0.0,1.5766514333194852,0,293.79546979865756,192.7185792349726,0.0,132.79487179487177,0.0,0.0,0.0,0.0,0.0,0,4.0,21.741758241758227,0.0,0,28.236263736263748,334.54545454545445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.06896551724139,364.8666666666668,0.0,0,2.0,0,0.0,0.0,0.0,0.0,0.0
1989-07-31,880.2502101723418,0,0.0,0.0,0,0.0,0,0,0.0,0,15.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,11.397058823529404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.32417582417582,0.0,112.53895694469455,0,0.0,0.0,1,0.0,40.610805860805854,0.0,0.0,0.0,0.0,0.0,75.36813186813185,0.9999999999999999,0.0,4.258241758241758,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3036630036630035,0.0,0.0,0.0,193.66666666666666,89.46367632367628,0.0,0.0,0,44.2314198958936,0.0,0.0,10.0,0.0,0.5602409638554217,0,388.6728187919464,30.188524590163937,0.0,3.5769230769230775,0.0,0.0,0.0,0.0,0.0,0,192.0,12.766483516483522,0.0,2,52.27747252747254,304.36363636363626,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,51.28571428571428,0.0,0.0,0,2.0,0,0.0,1.0625,0.0,0.0,10.5
1989-08-31,365.91687683900795,0,0.0,346.047619047619,0,0.0,0,0,0.0,0,17.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,11.397058823529404,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.32417582417582,0.0,457.2056236113613,0,0.0,0.0,0,0.0,41.54413919413919,0.0,0.0,0.0,0.0,0.0,268.36813186813185,2.2356321839080455,0.0,4.258241758241758,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17032967032967034,0.0,0.0,0.0,135.83333333333334,16.713676323676317,0.0,0.0,0,40.2314198958936,0.0,0.0,18.0,0.0,1.5602409638554218,0,63.422818791946355,42.0,0.0,3.5769230769230775,0.0,0.0,0.0,0.0,0.0,0,19.166666666666668,12.833150183150186,0.0,1,156.94413919413913,306.36363636363626,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.625,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0
1989-09-30,185.73076923076948,0,0.0,565.3952380952383,0,0.0,0,0,0.0,0,13.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,31.029411764705884,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.08791208791212,0.0,1669.7454310810742,0,0.0,0.0,0,0.0,38.3052292535051,0.0,0.0,0.0,0.0,0.0,111.61588985726915,1.0,0.0,4.1208791208791204,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16483516483516483,0.0,0.0,4.0,73.71428571428572,16.174525474525467,0.0,0.0,0,68.93363215731638,170.0,0.0,10.0,0.0,1.5421686746987953,0,74.57046979865774,110.5,0.0,3.461538461538462,0.0,0.0,0.0,0.0,0.0,0,140.34482758620678,58.776241000379,0.0,4,66.23626373626367,294.54545454545445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0,13.0,0,0.0,0.0,0.0,0.0,0.0
1989-10-31,240.78846153846155,0,0.0,294.66666666666663,0,0.0,0,0,0.0,0,9.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,191.91666666666654,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.32417582417582,0.0,7238.038956944699,0,0.0,0.0,2,0.0,36.3441391941392,0.0,0.0,0.0,0.0,0.0,571.1562271062269,0.0,0.0,4.258241758241758,7.166666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17032967032967034,0.0,0.0,25.0,99.63095238095238,16.713676323676317,0.0,0.0,0,54.777472527472526,0.0,0.0,0.0,77.0,0.5602409638554217,0,279.9944071588367,34.0,0.0,3.5769230769230775,0.0,0.0,0.0,0.0,0.0,0,0.0,20.766483516483515,0.0,1,68.27747252747248,233.45454545454544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0,2.0,0,0.0,5.033333333333333,0.0,0.0,0.0
