date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar (Malagasy),Malaysia,Mali,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-01,1298.7884615384614,0,0.0,300.2738095238095,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,33.51039215686275,0.0,0.0,0.0,0.0,0.0,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,376.7840628298255,0.0,2854.129120879121,0,0.0,0.0,0,0.0,75.27747252747253,0.0,0.0,0,0.0,0.0,140.53029403029404,0.0,0.0,4.258241758241758,1.0,0.0,1.1428571428571428,0,20.89887640449438,0.0,0.0,0.0,0.0,144.13333333333333,0,0.0,0.0,0.0,0.0,0,0.0,0.17032967032967034,2.0,0.0,0.0,62.0,0.2554945054945055,0.0,0.0,0,24.777472527472526,0.0,0.0,3.0,0.0,0.5602409638554217,0,173.2085330776606,67.11475409836066,0.0,3.576923076923077,0.0,0.0,0.0,0.0,0.0,0,516.6666666666667,16.866483516483516,0.0,0,30.27747252747253,795.1199388846447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,3.0,0,0.0,0.0,0.0,0.0,0.0
1989-02,198.7153846153846,0,0.0,427.80952380952385,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,30.26745098039216,0.0,0.0,0.0,16.666666666666668,0.0,120.0,0.0,0.0,0.0,0.0,29.0,0,0.0,246.02216427640155,0.0,9706.1452991453,0,0.0,0.0,0,0.0,42.15384615384615,0.0,0.0,0,0.0,0.0,106.85084912051204,0.0,0.0,3.8461538461538467,0.0,0.0,0.0,0,18.876404494382022,2.0,0.0,0.0,0.0,78.2,0,0.0,0.0,0.0,0.0,0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,45.24489352455454,0.0,0.0,0,15.153846153846153,0.0,0.0,0.0,0.0,0.5060240963855421,150,108.86577181208054,79.42622950819673,0.0,3.230769230769231,0.0,0.0,0.0,0.0,0.0,0,0.0,12.72934472934473,0.0,0,114.15384615384615,659.8502673796792,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0,0.0,21.897727272727273,0.0,0.0,0.0
1989-03,2211.0509615384617,0,0.0,415.26190476190476,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,38.51039215686275,0.0,0.0,0.0,50.0,0.0,22.799999999999997,0.0,0.0,0.0,0.0,0.0,0,0.0,488.1507294964922,0.0,3571.572290278028,0,0.0,0.0,0,0.0,38.277472527472526,0.0,0.0,0,0.0,0.0,116.85068070910766,0.0,0.0,4.258241758241758,5.0,0.0,0.0,0,23.89887640449438,0.0,0.0,0.0,0.0,127.0,0,0.0,0.0,0.0,0.0,0,0.0,0.17032967032967034,0.0,0.0,0.0,18.0,261.7807538788895,0.0,0.0,0,16.777472527472526,0.0,0.0,32.0,0.0,0.5602409638554217,0,180.4228187919463,95.11475409836066,0.0,3.576923076923077,0.0,0.0,0.0,0.0,0.0,0,1.1333333333333333,9.833150183150183,0.0,0,20.77747252747253,797.1199388846447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0,5.0,0,0.0,22.505681818181817,0.0,0.0,10.5
1989-04,510.7307692307692,0,0.0,177.85714285714286,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,375.2865546218487,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,255.89017197491773,0.0,945.8648892091516,0,0.0,0.0,0,0.0,43.44316028798788,0.0,0.0,0,82.0,0.0,185.40301271761948,0.9166666666666666,0.0,4.120879120879121,11.10344827586207,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,120.0,0,0.0,0.0,0.0,0.0,0,0.0,164.23380068207655,0.0,0.0,0.0,506.7758620689655,91.69006219768931,0.0,0.0,0,23.236263736263737,0.0,0.0,25.0,0.0,2.542168674698795,0,217.5704697986577,68.55191256830601,0.0,23.461538461538463,0.0,0.0,121.0,0.0,0.0,0,8.933333333333334,10.776241000378931,0.0,2,124.23626373626374,962.6967150496562,0,0.0,0.0,0.0,82.17857142857143,0.0,0.0,0.0,17.177339901477833,97.33333333333334,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1989-05,821.8335435056747,0,0.0,278.5924369747899,0,0.0,0,0,0.0,0,10.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,33.51039215686275,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0,0.0,236.32417582417582,0.0,381.28895694469463,0,0.0,0.0,0,0.0,37.61080586080586,0.0,0.0,0,0.0,0.0,92.54790714903075,2.166666666666667,0.0,4.258241758241758,15.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,85.03333333333333,0,0.0,0.0,0.0,0.0,0,0.0,10.503663003663004,0.0,0.0,0.0,214.14285714285714,262.71367632367634,0.0,0.0,0,40.23141989589358,0.0,0.0,4.0,0.0,0.5602409638554217,0,171.4228187919463,118.07771706132363,0.0,3.576923076923077,0.0,0.0,0.0,0.0,0.0,0,23.0,11.79981684981685,0.0,5,73.753663003663,764.3636363636364,0,0.0,0.0,0.0,101.14285714285714,0.0,0.0,0.0,71.42857142857143,593.1266666666667,0.0,0,1.0,0,0.0,0.0,0.0,4.0,0.0
1989-06,903.9356872635561,0,0.0,61.882352941176464,0,0.0,0,0,0.0,0,16.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,48.27079107505071,0.0,0.0,0.0,0.0,2600.0,15.0,0.0,0.0,0.0,4.0,0.0,0,0.0,163.0879120879121,0.0,125.65060349486578,0,0.0,0.0,0,0.0,39.23626373626374,0.0,0.0,0,0.0,0.0,147.06593406593407,0.0,0.0,4.120879120879121,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,27.0,0,0.0,0.0,0.0,0.0,0,0.0,8.268283440697234,0.0,0.0,4.0,293.30769230769226,47.174525474525474,0.0,0.0,0,124.7957011228336,0.0,0.0,0.0,0.0,1.576651433319485,0,293.79546979865773,192.71857923497268,0.0,132.7948717948718,0.0,0.0,0.0,0.0,0.0,0,4.0,21.74175824175824,0.0,0,28.236263736263737,334.54545454545456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.068965517241374,364.8666666666667,0.0,0,2.0,0,0.0,0.0,0.0,0.0,0.0
1989-07,880.2502101723413,0,0.0,0.0,0,0.0,0,0,0.0,0,15.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,11.397058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,132.32417582417582,0.0,112.53895694469465,0,0.0,0.0,1,0.0,40.61080586080586,0.0,0.0,0,0.0,0.0,75.36813186813188,1.0,0.0,4.258241758241758,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,123.0,0,0.0,0.0,0.0,0.0,0,0.0,4.303663003663003,0.0,0.0,0.0,193.66666666666666,89.46367632367632,0.0,0.0,0,44.23141989589358,0.0,0.0,10.0,0.0,0.5602409638554217,0,388.6728187919463,30.188524590163937,0.0,3.576923076923077,0.0,0.0,0.0,0.0,0.0,0,192.0,12.766483516483516,0.0,2,52.277472527472526,304.3636363636364,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,51.285714285714285,0.0,0.0,0,2.0,0,0.0,1.0625,0.0,0.0,10.5
1989-08,365.91687683900795,0,0.0,346.04761904761904,0,0.0,0,0,0.0,0,17.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,11.397058823529413,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,131.32417582417582,0.0,457.2056236113613,0,0.0,0.0,0,0.0,41.5441391941392,0.0,0.0,0,0.0,0.0,268.36813186813185,2.235632183908046,0.0,4.258241758241758,5.166666666666667,0.0,0.0,0,0.0,0.0,0.0,0.0,30.0,268.0,0,0.0,0.0,0.0,0.0,0,0.0,0.17032967032967034,0.0,0.0,0.0,135.83333333333334,16.71367632367632,0.0,0.0,0,40.23141989589358,0.0,0.0,18.0,0.0,1.5602409638554218,0,63.422818791946305,42.0,0.0,3.576923076923077,0.0,0.0,0.0,0.0,0.0,0,19.166666666666668,12.833150183150183,0.0,1,156.9441391941392,306.3636363636364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.625,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0
1989-09,185.73076923076923,0,0.0,565.3952380952381,0,0.0,0,0,0.0,0,13.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,31.029411764705884,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0,0.0,180.0879120879121,0.0,1669.7454310810729,0,0.0,0.0,0,0.0,38.30522925350512,0.0,0.0,0,0.0,0.0,111.61588985726917,1.0,0.0,4.120879120879121,9.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,65.0,0,0.0,0.0,0.0,0.0,0,0.0,0.16483516483516486,0.0,0.0,4.0,73.71428571428572,16.174525474525474,0.0,0.0,0,68.93363215731637,170.0,0.0,10.0,0.0,1.5421686746987953,0,74.57046979865771,110.5,0.0,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,0,140.3448275862069,58.776241000378924,0.0,4,66.23626373626374,294.54545454545456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0,13.0,0,0.0,0.0,0.0,0.0,0.0
1989-10,240.78846153846155,0,0.0,294.66666666666663,0,0.0,0,0,0.0,0,9.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,191.91666666666669,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,132.32417582417582,0.0,7238.038956944694,0,0.0,0.0,2,0.0,36.3441391941392,0.0,0.0,0,0.0,0.0,571.1562271062271,0.0,0.0,4.258241758241758,7.166666666666667,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0,0.0,0.17032967032967034,0.0,0.0,25.0,99.63095238095238,16.71367632367632,0.0,0.0,0,54.77747252747253,0.0,0.0,0.0,77.0,0.5602409638554217,0,279.9944071588367,34.0,0.0,3.576923076923077,0.0,0.0,0.0,0.0,0.0,0,0.0,20.766483516483518,0.0,1,68.27747252747253,233.45454545454544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0,2.0,0,0.0,5.033333333333333,0.0,0.0,0.0
